"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Genetic Information Processing","Translation","hsa03013","Nucleocytoplasmic transport","73/3371","108/9397",0.675925925925926,1.88421119131591,6.91225450697138,1.64058746303921e-11,5.67643262211567e-09,4.40368213763157e-09,"51194/51808/402569/1434/79023/129401/55706/387082/3836/84321/84305/57187/57122/4927/55110/23636/55746/5901/9939/10073/23279/23534/4686/23511/9670/9775/8480/23165/11260/2733/51068/55916/9631/348995/3839/3842/9688/10921/55161/9984/53371/81929/4928/5903/9818/80145/10284/3838/55705/22916/57510/10526/3841/7514/65109/5976/29107/64328/7329/7175/79902/91181/10762/3843/8021/7341/25909/8086/26019/3840/79228/55308/6396",73
"Metabolism","Amino acid metabolism","hsa00280","Valine, leucine and isoleucine degradation","38/3371","48/9397",0.791666666666667,2.2068500939385,6.26942460526051,9.78310177758822e-10,1.66184072071056e-07,1.28922842647153e-07,"219/4594/35/1962/11112/1892/34/26275/3155/4329/39/1738/38/10449/5095/84693/65985/223/56922/5096/316/593/5019/259307/549/594/3712/36/586/1629/587/64087/3033/27034/64902/3032/64064/197322",38
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","86/3371","142/9397",0.605633802816901,1.68826486059639,6.18084530971901,1.45834531625454e-09,1.66184072071056e-07,1.28922842647153e-07,"8651/10393/9817/10273/51529/22954/5071/329/25847/9063/8697/9978/8554/26232/90293/868/55958/7337/55236/1642/8945/4591/8453/92912/22888/26091/7334/8450/8451/26272/8454/997/118424/10477/57448/9039/8452/9354/10055/63893/996/8065/10054/64682/7322/7332/64750/27338/89910/23291/7319/10401/9320/140739/51434/6502/55284/7326/6921/6923/29945/26259/4734/1161/64326/7323/9616/672/8925/4281/25898/7329/8881/55120/51366/51433/7325/119504/6477/9690/9246/65264/246184/8916/4193/7189",86
"Human Diseases","Neurodegenerative disease","hsa05014","Amyotrophic lateral sclerosis","188/3371","371/9397",0.506738544474393,1.41258442670599,6.06440836402042,1.92120314533012e-09,1.66184072071056e-07,1.28922842647153e-07,"10382/10975/1337/30849/4717/29796/4713/4718/7186/29978/6392/5707/1965/513/375189/27089/143471/79023/1767/5071/572/4702/4714/1329/129401/4711/522/10280/55860/55706/8878/4706/539/5688/4704/2882/506/10213/6647/126328/1345/6311/9217/4712/57122/6390/4927/1616/23636/4695/4700/11047/5693/10010/55746/90550/6389/23279/4842/5289/1537/9821/5682/5686/374291/4716/4686/23511/7386/4726/54539/5701/9542/5217/8480/836/23165/116442/310/5533/29110/2733/4728/9776/23064/55916/9631/348995/509/4719/4698/5708/518/7384/22926/498/1639/4709/79139/81631/4696/7280/65018/55255/9688/6432/53371/7416/81929/4928/60/7415/5903/9818/9896/55967/4217/5718/64837/127602/3799/5704/9377/10133/1768/10383/80208/4720/2902/5706/10126/10540/9782/5717/29979/8678/5684/57679/4697/29107/10121/9001/4708/56171/257202/10476/7175/79902/91181/2066/4724/515/10762/10452/8021/4710/60673/54205/84516/26100/71/55626/2903/5535/25978/55102/100506742/5691/2890/1347/5606/5715/2904/7385/3798/9451/6396/5714/4725/4707/5683/196385/1432/203228/9861/10671/5710/5689",188
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","45/3371","63/9397",0.714285714285714,1.99114294189939,5.90349209075194,9.10715474403155e-09,6.30215108286984e-07,4.88910412574326e-07,"5438/6118/6119/5424/5441/7508/2965/9978/902/81488/5984/5985/4331/5111/1642/5435/1069/56655/8450/8451/5886/5440/5982/5427/5434/54107/5431/29935/10714/6117/2071/5983/5436/5425/2072/2966/7507/1161/2967/404672/2074/5437/1022/5981/5433",45
"Organismal Systems","Environmental adaptation","hsa04714","Thermogenesis","126/3371","235/9397",0.536170212765957,1.49462814872789,5.74319988985792,1.43911525740716e-08,8.2988979843813e-07,6.43814720418994e-07,"28958/10975/1337/4717/29796/25915/4713/4718/1376/51241/84987/29078/6392/5567/1386/521/513/27089/4702/86/4714/1329/4711/284184/522/4706/539/388753/51103/3991/4704/506/3265/126328/1345/10063/51703/4712/6390/4695/4700/5564/55471/6009/6389/2181/64223/1537/55811/788/374291/4716/7386/4726/54539/2260/1352/10488/4728/1353/51287/509/4719/4698/6601/518/7384/498/4709/1355/4696/6197/10632/60/55967/4217/6196/6198/6654/493753/9377/148327/23028/6597/6655/5562/6603/7249/4720/55744/137682/4697/126129/4708/10476/2182/4724/10818/515/3845/6599/4710/6595/6605/90639/5563/71/5593/1385/51548/55818/113/1347/108/5606/7385/6199/5592/27330/4725/4707/107/1432/116228/5346/57492",126
"Cellular Processes","Cell growth and death","hsa04110","Cell cycle","90/3371","158/9397",0.569620253164557,1.58787348531218,5.5736057984307,4.22360243814997e-08,2.08766634799984e-06,1.61957687477931e-06,"10393/5001/51529/7465/4175/4172/5518/9184/5000/10971/23595/25847/1019/5933/23047/8697/9978/902/7533/5527/5519/3066/5111/10274/10459/26271/8317/7534/4085/4087/23063/23244/891/8454/4999/5591/27085/5934/114799/10735/546/545/996/8555/9587/64682/5529/25836/5925/9126/51434/699/6502/5885/7531/5528/894/29945/1875/8243/9088/3065/157570/8881/10744/2810/1017/8556/25/7709/7027/4089/896/4174/51433/85417/7042/5525/1022/472/27127/119504/4609/4173/595/10403/246184/4193/7529/81620",90
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","29/3371","36/9397",0.805555555555556,2.24556676225321,5.60006999214074,4.93233041372938e-08,2.13323290393796e-06,1.65492665197499e-06,"4175/6118/4172/6119/5424/5557/5984/5985/5111/56655/5558/5982/5427/54107/29935/10714/6117/84153/5422/5983/5425/2237/79621/10535/4174/5981/4173/1763/23649",29
"Genetic Information Processing","Folding, sorting and degradation","hsa04141","Protein processing in endoplasmic reticulum","92/3371","171/9397",0.538011695906433,1.49976146734878,4.93276487370447,1.04231676345927e-06,4.00712889063231e-05,3.10866403136976e-05,"10273/7466/7186/29978/10113/10484/1965/9532/5071/10483/3703/6048/10294/27248/9978/10808/26232/51360/6184/22872/23471/10802/23640/64215/55768/1603/6185/9601/5602/10960/258010/3304/5886/5601/6745/4780/8454/55829/10427/9871/118424/746/201595/51009/165324/26270/7095/22926/3301/3998/79139/22824/80267/51128/54431/7322/3312/7415/3305/84061/30001/4217/6400/91445/58505/7326/267/57134/23190/821/10952/7323/29979/824/7993/1650/133022/9373/80343/10130/100506742/7841/8720/9451/6396/10905/81567/10134/9632/55666/7184/4121",92
"Metabolism","Glycan biosynthesis and metabolism","hsa00510","N-Glycan biosynthesis","37/3371","55/9397",0.672727272727273,1.87529462527979,4.86913697104137,2.05012610531382e-06,6.44857847671439e-05,5.00270006559833e-05,"22845/146664/4247/56052/25834/1798/3703/54344/29929/79053/29880/85365/6184/57171/1603/6185/10195/746/201595/207063/8813/2530/84061/6480/58505/57134/1650/199857/79087/8703/4245/7841/11320/8818/84620/10905/4121",37
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","37/3371","55/9397",0.672727272727273,1.87529462527979,4.86913697104137,2.05012610531382e-06,6.44857847671439e-05,5.00270006559833e-05,"378708/29089/6118/79728/6119/2178/5889/84126/2188/80010/80198/641/5429/57697/675/9894/11201/7398/545/4292/29935/51426/6117/55215/5980/83990/57599/80233/2187/201254/2189/2072/672/55120/3280/51455/5395",37
"Cellular Processes","Transport and catabolism","hsa04146","Peroxisome","50/3371","83/9397",0.602409638554217,1.67927717991515,4.64894352987424,4.93062517622619e-06,0.000142166359247855,0.000110290299994533,"1891/5193/8800/8504/1962/11001/51268/3418/26061/196743/3155/8799/10455/8310/5825/5264/5194/6647/10478/51703/5191/11264/8443/84769/5827/5192/5824/225/5189/2181/5828/54677/3417/10005/1384/9409/6342/3295/8540/92960/283927/55825/2182/26063/54363/4358/84188/55711/23417/25824",50
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","19/3371","23/9397",0.826086956521739,2.30280009802278,4.67859597250868,5.68358528678621e-06,0.000151270808402156,0.000117353380415424,"4436/6118/6119/5424/4437/5984/5985/5111/2956/5982/4292/29935/10714/6117/5983/5425/27030/5981/5395",19
"Human Diseases","Neurodegenerative disease","hsa05016","Huntington disease","149/3371","311/9397",0.479099678456592,1.33553832051516,4.50061922839559,6.32989211361892e-06,0.000156438762236582,0.000121362593155852,"10382/5438/10975/1337/30849/4717/29796/4713/4718/7186/6392/5707/513/27089/143471/1767/5441/4702/9519/4714/1329/4711/522/55860/4706/539/5688/4704/4899/1213/2882/506/10213/7419/6647/126328/1345/3066/4712/6390/4695/5435/4700/11047/5602/5693/291/1212/6389/5289/1537/5601/9821/5682/5686/374291/6875/4716/7386/4726/54539/5701/55081/5978/5440/836/10488/4728/9776/6908/509/5434/4719/5431/4698/5708/518/7384/498/1639/4709/4696/7280/7416/1173/55967/4217/5718/64837/127602/3799/5704/9377/148327/5436/1211/1768/163/10383/4720/2902/5332/5706/10126/10540/5717/23236/3065/8678/5684/4697/10121/9001/4708/56171/257202/10476/4724/515/4710/60673/54205/84516/26100/5437/55626/1385/55102/5691/6507/2890/1347/5715/2904/7385/5433/3798/3708/5714/4725/4707/5683/196385/25942/9861/10671/5710/7019/5689",149
"Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","24/3371","32/9397",0.75,2.09070008899436,4.62234932693397,7.24712090692513e-06,0.000167166922253073,0.000129685321492345,"8803/4594/35/1962/1892/26275/4329/3939/8310/3945/1738/5095/84693/55862/5096/593/594/79611/8802/1629/8801/84532/160287/23417",24
"Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","73/3371","138/9397",0.528985507246377,1.47460006276897,4.20069944224512,2.85533663759562e-05,0.000617466547880053,0.000479020291175581,"50617/10975/1337/4717/29796/4713/4718/6392/9296/51606/521/513/27089/27068/4702/4714/1329/4711/522/4706/539/51382/4704/506/126328/1345/10063/4712/6390/245972/528/4695/4700/6389/1537/374291/4716/7386/4726/54539/1352/4728/1353/509/4719/4698/518/7384/498/155066/4709/1355/4696/10632/55967/9377/523/529/4720/23545/4697/4708/10476/4724/515/4710/54205/9550/8992/1347/7385/4725/4707",73
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","29/3371","44/9397",0.659090909090909,1.83728189638899,4.16350306553892,4.73251912776905e-05,0.000911861453556947,0.000707406968837912,"8505/55775/5424/4350/7374/143/5984/5985/23583/5111/56655/54936/8930/5982/10038/5427/142/4913/54107/10714/5428/5983/5425/3980/54840/2237/10039/5981/252969",29
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","30/3371","46/9397",0.652173913043478,1.8180000773864,4.1594848684792,4.74378790867776e-05,0.000911861453556947,0.000707406968837912,"5707/143471/5698/5688/10213/11047/5693/5682/5686/5701/3458/5708/9491/5718/5704/5696/5720/5699/51371/5706/10197/5717/5684/5691/5715/5714/5683/9861/5710/5689",30
"Genetic Information Processing","Folding, sorting and degradation","hsa03018","RNA degradation","45/3371","78/9397",0.576923076923077,1.60823083768797,4.03429263600505,6.59583748262697e-05,0.00120113672052049,0.000931821915828187,"196513/51010/87178/51013/80153/4850/23517/25904/5073/694/9652/27257/115752/56915/57819/9337/2026/11340/10766/5394/25804/29883/80349/11157/5211/5214/23658/57472/27258/84186/54464/22894/23019/23644/4848/22803/55802/54512/167227/3329/246175/2023/10200/154197/10950",45
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","27/3371","41/9397",0.658536585365854,1.83573666350725,4.01099936646159,8.83084527084446e-05,0.00152773623185609,0.00118519239161334,"9577/6118/79728/6119/5890/5424/5889/80198/10111/641/580/675/25788/29935/10714/6117/4683/79184/83990/50511/5425/5893/672/11073/472/5892/4361",27
"Human Diseases","Neurodegenerative disease","hsa05012","Parkinson disease","127/3371","271/9397",0.468634686346863,1.30636610726831,3.82755507279579,0.000105587892297443,0.00173968622547216,0.00134961967598235,"10382/10975/9817/1337/4717/29796/4713/4718/6392/5707/5567/1965/513/23516/27089/143471/5071/6531/4702/55630/91252/4714/64116/1329/4711/522/4128/4706/539/805/5688/4704/25800/506/10213/7419/6647/126328/1345/4712/6390/1616/4695/4700/11047/5602/5693/291/90550/6389/1537/57181/5601/5682/5686/4780/3709/374291/4716/7386/4726/54539/5701/118424/836/4728/509/4719/4698/5708/518/7384/22926/498/4709/4696/7280/65018/4129/7416/55669/2773/7332/55334/55967/2774/4217/5718/64837/2770/3799/815/5704/9377/7326/221074/4137/10383/29985/4720/5706/5717/5684/4697/4708/10476/4724/515/4710/27429/54205/5691/1347/5715/7385/9246/3798/9451/3708/5714/120892/4725/4707/5683/9861/5710/5689",127
"Cellular Processes","Transport and catabolism","hsa04140","Autophagy - animal","84/3371","169/9397",0.497041420118343,1.38555272170041,3.78276750155916,0.000139347896579326,0.00219156237347485,0.00170017768553723,"30849/10670/5567/1965/84938/572/6885/9474/115201/11345/65082/8878/55578/5588/3265/8887/26003/6237/664/27072/5602/10010/6009/64798/22800/64223/5289/5601/9821/53349/57448/4077/116442/29110/9776/5604/8503/5290/6794/81631/83452/55255/79065/5291/84971/5594/6198/5605/83734/23192/10133/8417/5562/1613/7249/7879/55054/57724/8678/57617/10533/5295/51100/3845/60673/26100/5563/55626/10325/10000/55102/10241/9451/6199/64422/3708/9110/170067/203228/100130302/7189/9140/9342/9711",84
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","99/3371","205/9397",0.482926829268293,1.34620688657198,3.74838284604832,0.000151480279731723,0.00227879029509462,0.00176784765819631,"8364/3665/8363/7186/2960/8367/5567/1386/10971/9093/128312/572/2961/9519/1019/4790/5933/2965/8366/55697/7533/3135/5902/3018/28973/7419/2958/3265/3066/7337/1642/245972/3249/121504/85236/7534/5366/6672/836/10488/5934/3716/79885/6908/22938/8503/8361/8717/5290/8370/8344/8368/8360/5291/5594/5922/5925/9759/3516/148327/10014/8348/6502/8339/7531/27044/894/8294/8841/2966/8362/8346/8341/1739/3017/3065/440689/2967/8359/5295/1017/3190/6774/3845/7185/896/998/2957/1385/3105/8349/6776/8343/7188/595/1654/1959/4193/7529",99
"Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","79/3371","158/9397",0.5,1.39380005932958,3.73360314581315,0.000170105603097898,0.00245235577799469,0.0019024968767528,"84219/10670/9675/9296/51606/1978/81617/80326/51382/3265/1977/8326/7976/528/8323/652968/153129/1856/6009/51719/9894/64798/64223/79899/55437/7475/10542/54468/2887/5604/6520/8503/5290/6794/6197/4041/8649/81929/1147/57600/5291/7471/8140/6196/5594/6198/6654/5605/523/54361/6655/6502/51384/79109/5562/529/6249/51256/7249/7476/10641/96459/5295/55615/3845/5563/10325/23175/10000/9550/1855/4040/64900/6199/6396/673/27330/8322/8131",79
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","151/3371","333/9397",0.453453453453453,1.26404690065325,3.66926906240354,0.000184000333245424,0.00254656461211667,0.00197558252537193,"50617/9636/50855/8772/8638/356/3672/7098/284217/9296/51606/5567/5649/5584/5518/3918/1978/572/7283/9519/1019/4790/1291/23493/5933/5523/55012/80326/55502/3135/6772/51382/5527/3694/5519/92359/84552/9223/3265/3066/7337/8326/245972/7976/528/28227/8323/131873/1856/6009/9368/3448/1741/1292/5734/3688/22798/84612/7475/3909/4799/836/10488/1740/8516/5934/29110/3716/4242/3993/6908/5604/545/324/8503/155066/8717/5290/1452/1147/5529/5291/7471/5594/6198/6654/5605/5925/10207/3516/148327/523/27175/3912/54361/6655/3685/51384/7448/5528/22801/3381/894/1278/529/4599/3676/1277/7249/3673/7476/1739/5663/3065/23545/64398/3678/5295/1017/5590/3845/3280/3456/896/998/5525/10000/472/9550/1385/9641/8992/1293/5521/3105/7057/1855/55844/122011/56288/3695/6199/4854/355/595/10134/8322/4193/10474/1284/10319",151
